Title,Dewey_Decimal_Number,Author,ISBN,In_Stock,DatePurchased,NumberInStock,NumberOfAccesses,Price,LastAccessed
Plato in 90 Minutes,184,"Strathern, Paul",6969582982,n,30-AUG-2000,0,2,5.99,16-MAY-2017
Play Power,909.82,"Neville, Richard",6719724739,y,01-JAN-1981,2,2,1.99,02-AUG-1990
Player Piano,823,"Vonnegut, Kurt",5627239559,y,02-MAR-1985,3,1,1.99,10-APR-1989
"Player of Games, The",823,"Banks, Iain M",4338189654,y,01-DEC-1993,1,12,12.49,17-FEB-2002
Plexus,823,"Miller, Henry",4306259884,y,01-JUL-1983,3,4,4.5,17-SEP-1991
"Plumed Serpent, The",823,"Lawrence, D H",535623464X,y,01-JAN-1979,2,4,3.5,11-APR-1979
Pluralism,300,"McLennan, George",6595146664,y,10-OCT-1998,2,1,17.99,01-APR-2004
Pocket Guide to Trees,574,"Sutton, David",8463407601,y,,2,4,,05-NOV-2012
Poetry of the Universe,500,"Osserman, Robert",4165767140,y,,1,2,,20-MAR-2014
Point Counter Point,823,"Huxley, Aldous",2695480833,y,25-APR-2001,1,10,5.99,12-JUL-2009
Point Counter-Point,823,"Huxley, Aldous",4663624258,y,01-JAN-1977,4,4,1.99,06-NOV-1983
Political Philosophy: A Very Short Introduction,320,"Miller, David",978-8579847691,y,30-NOV-2015,2,1,5.99,15-MAY-2018
Political Thought from Plato to NATO,320,Various,978-5956713201,y,06-MAR-2016,1,4,12.49,15-MAY-2018
Politics  - A Very Short Introduction,320,"Minogue, Kenneth",978-5532214588,y,31-DEC-2013,1,1,12.49,15-MAY-2018
"Politics of Apocalypse, The",261.26,"Cohn-Sherbok, Dan",0682264511,y,10-NOV-2002,2,0,7.99,14-SEP-2009
"Politics of Experience and the Bird of Paradise, The",154.2,"Laing, R D",5208611593,y,01-AUG-1980,2,2,1.99,22-JAN-1986
"Politics of Pure Science, The",338.97306,"Greenberg, Daniel S",897510509X,y,28-DEC-1995,1,4,17.99,28-JUL-2005
Pompeii,823,"Harris, Robert",978-8728862721,y,29-MAY-2006,4,4,7.99,17-JUN-2008
Popper,190.9,"Magee, Bryan",5196155615,y,01-AUG-1981,2,2,1.99,02-MAR-1991
Popular Culture: Past and Present,820.9,"Waites, Bernard, Tony Bennett, and Martin, Graham",8105321172,n,,0,1,,16-MAY-2017
Portrait of the Artist as a Young Dog,808.3,"Thomas, Dylan",978-6203259661,y,03-JUL-2014,1,2,7.99,11-OCT-2014
Portrait of the Artist as a Young Man,823,"Joyce, James",0201535770,y,01-JAN-1980,3,1,0.99,01-AUG-1989
Possession,823,"Byatt, A S",9052192438,y,01-JUL-1992,2,2,17.99,06-MAY-1999
Postmodern Thought,190,"Sim, Stuart (ed.)",333342223X,y,23-DEC-2005,2,2,5.99,24-JUL-2015
Postmodernism and Big Science,501,"Appignanesi, Richard (ed)",978-9290905082,y,03-JAN-2015,1,1,5.99,15-MAY-2018
Postmodernism for Beginners,190,"Appignanesi, Richard, and Garret, Chris",6765805980,y,01-MAY-1997,1,2,5.99,09-JUN-2001
"Postmodernism, Reason, and Religion",300,"Gellner, Ernest",6054001076,y,28-NOV-2003,2,1,21.5,20-MAY-2009
Power Shift,300,"Toffler, Alvin",6964658255,y,10-JUN-1995,2,0,5.99,27-AUG-2003
"Power of the Machine, The",600.9,"Buchanan, R A",1739922940,y,13-OCT-2003,2,4,17.99,13-MAY-2013
"Practice of History, The",901,"Elton, G R",0961257448,y,25-APR-1997,2,4,12.49,16-OCT-2002
Precious Bane,823,"Webb, Mary",9551594495,y,15-MAR-1979,1,10,2.99,01-JUN-1987
Predictions: 30 Great Minds on the Future,335,"Griffiths, Sian (ed.)",0449141218,n,29-MAR-2004,0,4,5.99,16-MAY-2017
"Preserving Machine, The",823,"Dick, Philip K",6167140299,y,01-DEC-1987,3,1,4.99,17-FEB-1996
Previews and Premises,300,"Toffler, Alvin",9533148859,n,24-AUG-1998,0,4,17.99,16-MAY-2017
Pricksongs and Descants,808.3,"Coover, Robert",7784953363,n,01-OCT-1983,0,2,1.99,16-MAY-2017
Pride and Prejudice,823,"Austen, Jane",0141439513,y,10-FEB-1976,3,10,2.99,28-APR-1984
"Prince, The",320.01,Machiavelli,5470682902,n,01-NOV-1992,0,2,5.99,16-MAY-2017
Print and the People,900,"James, Louis",6535679454,y,25-JUL-1997,2,4,5.99,14-AUG-1999
Printed Maps of Wiltshire,912,"Chandler, John (Ed.)",8329149135,n,14-JUL-2002,0,4,5.99,16-MAY-2017
"Private Future, The",300,"Pawley, Martin",4896961797,y,01-OCT-1977,1,2,1.99,02-MAY-1987
"Private Lives, Public Spirit: Britain 1870-1914",941.08,"Harris, Jose",0178002426,y,31-MAY-1999,2,2,7.99,17-AUG-2007
Prodigal Genius: The Life of Nikola Tesla,500,"O'Neil, J J",7862789774,n,01-JUL-1993,0,2,17.99,16-MAY-2017
Producing Your Own Power,600,"Hupping Stoner, Carol",6321681247,y,07-MAY-1997,1,4,17.99,24-JUL-2005
Profiles of the Future,335,"Clarke, Arthur C",978-2229014757,y,12-MAY-2015,1,4,17.99,15-MAY-2018
Pstalemate,823,"Del Rey, Lester",7836296557,n,01-MAR-1976,0,1,0.99,16-MAY-2017
Psychoanalysis Observed,153,"Rycroft, Charles, et al.",1724398253,y,20-JUL-2003,1,4,5.99,17-FEB-2013
Psychogeography,306,"Coverley, Merlin",978-8919161795,y,31-OCT-2014,2,1,7.99,19-NOV-2016
Psycholinguistics,410.15,"Greene, Judith",628863447X,y,07-FEB-1996,2,2,5.99,12-DEC-2002
Psychology,150,"Miller, George",0496135815,y,,2,1,,20-MAR-2014
Psychology For Everyman,153,"Skurnik, Larry S, and Frank George",9676321014,y,27-DEC-2003,2,4,7.99,31-OCT-2010
"Psychology of Communication, The",153,"Miller, George A",4982052895,y,01-DEC-1994,2,2,5.99,23-MAY-2000
"Psychology of Superstition, The",153,"Jahoda, Gustav",717463848X,y,06-JUL-2003,2,1,5.99,10-MAY-2010
"Puppet Masters, The",823,"Heinlein, Robert",7622187332,n,01-OCT-1975,0,1,0.99,16-MAY-2017
Pursuit of Paradise,900,"Brown, Jane",978-9627909148,y,30-JUL-2006,1,2,17.99,16-OCT-2014
"Pursuit of Signs, The",808,"Culler, Jonathan",4213121009,y,12-APR-2003,1,4,21.5,14-FEB-2010
"Pursuit of the Millenium, The",909,"Cohn, Norman",3584499575,y,03-MAR-2005,1,2,5.99,23-MAR-2007
Pygmalion,822,"Bernard Shaw, George",978-615855663X,y,10-JUL-2008,2,1,5.99,08-FEB-2018
"Quantum Self, The",500,"Zohar, Danah",5200956238,n,29-APR-2000,0,2,5.99,16-MAY-2017
"Quark and the Jaguar, The",520,"Gell-Mann, Murray",8922296646,n,07-MAR-2005,0,1,5.99,16-MAY-2017
"Quarry, The",823,"Banks, Iain",3656297668,y,05-JAN-2001,1,1,17.99,06-AUG-2010
Quartet,823,"Rhys, Jean",5433958166,n,01-SEP-1979,0,1,0.99,16-MAY-2017
"Queen of the Swords, The",823,"Moorcock, Michael",157299941X,y,01-JAN-1976,1,10,0.99,19-MAR-1984
"Quest for Immortality, The",500,"Olshansky, S. Jay and Bruce A. Carnes",931323179X,y,,2,1,,24-JUN-2011
"Quest for Mind, The",128.2,"Gardner, Howard",9936970770,y,15-DEC-2005,1,4,5.99,03-MAR-2014
"Quiet American, The",823,"Greene, Graham",978-3540617304,y,17-MAR-2015,1,4,17.99,15-MAY-2018
Quiet Days in Clichy,808.3,"Miller, Henry",2475746131,n,01-JUN-1983,0,0,4.99,16-MAY-2017
"Radical Twenties, The",942,"Lucas, John",8796353042,y,13-JUL-1998,2,4,17.99,03-JAN-2004
"Rainbow, The",823,"Lawrence, D H",1386927246,n,01-SEP-1980,0,4,4.99,16-MAY-2017
Rapid Reading Made Simple,808.04,"Wainwright, Gordon   R",894924632X,n,,0,2,,16-MAY-2017
"Rational Optimist, The",300,"Ridley, Matt",2428014466,y,,1,2,,20-MAR-2014
Rats and Gargoyles,823,"Gentle, Mary",4360889282,y,01-JUN-1992,3,1,21.5,21-JUN-1994
"Razor's Edge, The",823,"Somerset Maugham, W",978-0115365130,y,15-MAY-2011,2,10,5.99,19-MAR-2018
Read Between My Lines (Lives and Love of Stevie Nicks),780.92,"Halliwell, Sandra",978-5080810015,y,12-JAN-2012,2,4,12.49,08-OCT-2014
Reading 1922,820.9,"North, Michael",8199187293,y,11-JAN-2002,2,2,21.5,31-JAN-2004
Reading Knowledge,801.95,"Payne, Michael",7226073065,y,,1,1,,24-JUN-2011
Reading Popular Narrative: A Source Book,820.9,"Ashely, Bob (ed.)",7043920354,y,17-DEC-2002,2,2,5.99,05-MAR-2011
Reading Television,302.23,"Fiske, John, and Hartley, John",0161194191,y,14-AUG-1998,2,2,12.49,02-SEP-2000
Reading the Landscape,930.1,"Muir, Richard",3861240048,y,,2,2,,02-AUG-2015
"Real Life of Sebastian Knight,The",823,"Nabokov, Vladimir",8701484040,y,01-APR-1988,2,1,4.99,31-OCT-1997
Real Time World,823,"Priest, Christopher",2813392665,n,01-JAN-1983,0,10,2.99,16-MAY-2017
Realism and Tinsel,791.43,"Murphy, Robert",2244242296,n,07-APR-2000,0,1,5.99,16-MAY-2017
Reality: A Very Short Introduction,100,"Westerhoff, Jan",9180602640,y,,2,4,,24-JUN-2011
Red Mars,823,"Robinson, Kim Stanley",2118852298,y,01-JUN-1995,4,2,17.99,30-DEC-2004
"Red Road, The",823,"Mina, Denise",0233910242,y,,2,12,,21-JAN-2008
Red Shift,823,"Garner, Alan",6204332237,y,01-JAN-1976,4,2,2.99,01-AUG-1985
Reformation to Industrial Revolution,909.7,"Hill, Christopher",0949218907,y,19-JAN-1997,1,2,5.99,20-AUG-2006
Reframing,158,"Bandler, R and John Grinder",4941390462,y,01-FEB-1994,2,4,17.99,06-DEC-2000
Relativity for the Layman,530,"Coleman, James A",2152137538,y,01-SEP-1982,1,1,4.99,01-APR-1992
Reliable Knowledge,501,"Ziman, John",6361145250,y,,1,1,,20-MAR-2014
Religion Explained,200.1,"Boyer, Pascal",3725775626,y,01-NOV-2003,2,1,12.49,01-JUN-2013
Religion and the Decline of Magic,201,"Thomas, Keith",476888548X,y,02-DEC-1998,2,2,5.99,18-FEB-2007
Religion and the Rise of Capitalism,900,"Tawney, R H",2350344510,y,,2,0,,16-MAY-2007
"Religion, Values and Peak Experience",153,"Maslow, Abraham H",4809682260,y,21-DEC-1998,2,4,12.49,25-OCT-2005
"Remains of the Day, The",823,"Ishiguro, Kazuo",5630495933,y,12-JUL-1997,2,4,12.49,02-JAN-2003
"Reprieve, The",823,"Sartre, John Paul",2950404213,y,01-APR-1978,4,1,1.5,18-JUN-1986
Resolution,823,"Mina, Denise",5656562557,y,16-MAY-2004,1,10,17.99,05-JUN-2006
"Restaurant at the End of the Universe, The",823,"Adams, Douglas",1372788251,n,01-JAN-1981,0,12,4.99,16-MAY-2017
Restless Earth,550,"Calder, Ritchie",3183588392,y,18-SEP-1996,2,2,7.99,05-DEC-2004
"Return of the Native, The",823,"Hardy, Thomas",5141228668,y,01-JUN-1984,2,1,2.99,31-DEC-1993
Revelations,1.9,"Vallee, Jacques",957118621X,n,15-APR-1997,0,4,12.49,16-MAY-2017
Riddley Walker,823,"Hoban, Russel",8948667501,y,01-MAY-1984,5,10,4.99,22-OCT-1989
Riders of the Purple Sage,823,"Grey, Zane",6705217760,y,24-MAR-1996,4,1,5.99,10-JUN-2004
"Right Stuff, The",500,"Wolfe, Tom",7882652370,y,12-OCT-1988,1,2,4.5,04-APR-1994
"Righteous Mind, The",302,"Haidt, Jonathan",978-8651543841,y,24-APR-2014,2,1,7.99,15-MAY-2018
Rightful Place of Science,500,"Pielke jr, Roger",6015044309,y,,1,0,,24-JUN-2011
Ringworld,823,"Niven, Larry",6216997405,y,01-APR-1993,3,10,5.99,18-JUN-2001
"Rise and Fall of Modern Medicine, The",610.9,"le Fanu, James",8647413649,y,23-MAR-1998,1,2,5.99,22-OCT-2007
"Rise and Fall of the Third Chimpanzee, The",909,"Diamond, Jared",5720319425,y,11-NOV-1998,1,1,5.99,28-JAN-2007
"Rise of Respectable Society, The",900,"Thompson, F M L",6460580256,n,13-AUG-1999,0,1,12.49,16-MAY-2017
Risk,306,"Gardner, Dan",4422691266,y,01-APR-1995,2,2,7.99,30-OCT-2004
Risk Society,306,"Beck, Ulrich",9069507634,y,25-MAY-2001,2,4,5.99,11-AUG-2009
Risk and Culture,306,"Douglas, Mary and Aaron Wildavsky",4723566014,y,12-JUL-2002,1,2,17.99,28-SEP-2010
Risk: A Very Short Introduction,306,"Fischhoff, Baruch and John Kadvany",978-1708687838,y,21-JUL-2014,1,1,5.99,15-MAY-2018
River Out of Eden,500,"Dawkins, Richard",2557459745,y,11-JUN-2003,2,2,7.99,30-JUN-2005
"Road to Wigan Pier, The",300,"Orwell, George",7969407429,n,30-MAR-1998,0,4,12.49,16-MAY-2017
"Road, The",823,"McCarthy, Cormac",978-4874591005,y,24-OCT-2013,4,1,5.99,15-MAY-2018
Roadmarks,823,"Zelazny, Roger",662280658X,y,12-DEC-1998,1,1,5.99,28-FEB-2007
Roads and Tracks of Britain,900,"Taylor, Christopher",1492794227,n,09-JAN-1998,0,1,7.99,16-MAY-2017
Rocking the Classics,781.5,"Macan, Edward",2382579982,y,14-AUG-1998,1,4,5.99,14-MAR-2008
Rogue Male,823,"Household, Geoffrey",079657698X,y,01-DEC-1993,5,10,5.99,02-JUL-2003
Romantic Image,306,"Kermode, Frank",978-6597255686,y,03-DEC-2007,1,2,5.99,25-MAY-2013
"Romantic Movement, The",900,"Cranston, Maurice",4960998131,y,08-JUL-2001,1,2,12.49,24-SEP-2009
"Romantics, The",900,"Thompson, E P",0259001549,y,,1,1,,20-MAR-2014
"Romeo Error, The",500,"Watson, Lyall",963164526X,y,01-DEC-1976,1,2,0.99,06-OCT-1983
Room Temperature,823,"Baker, Nicholson",860117660X,y,31-DEC-2001,2,4,5.99,04-NOV-2008
Room at the Top,823,"Braine, John",5200019500,y,01-SEP-1981,4,1,1.99,02-APR-1991
"Room with a View, A",823,"Forster, E M",0141199822,y,22-APR-1992,4,1,5.99,25-FEB-1999
"Roots of Coincidence, The",500,"Koestler, Arthur",6319068184,n,01-MAR-1980,0,1,5.49,16-MAY-2017
"Roots of Romanticism, The",100,"Berlin, Isaiah",9177305041,y,13-DEC-2001,2,0,12.49,08-SEP-2004
"Roots of Witchcraft, The",133.4,"Harrison, Michael",6059064910,n,01-JUL-1978,0,4,0.99,16-MAY-2017
Rosemary's Baby,823,"Levin, Ira",9250237979,n,01-DEC-1987,0,12,4.5,16-MAY-2017
Rosencratz and Guildenstern are Dead,822,"Stoppard, Tom",9772761720,n,01-FEB-1978,0,4,2.99,16-MAY-2017
"Rosicrucian Enlightenment, The",135.43,"Yates, Frances A",4028829603,y,08-MAR-2001,1,2,5.99,29-AUG-2006
"Rotters' Club, The",823,"Coe, Jonathan",5233984913,y,16-OCT-2002,1,12,7.99,02-JAN-2011
"Rottweiler, The",823,"Rendell, Ruth",978-5705189410,y,27-DEC-2006,5,10,17.99,15-MAR-2015
Round in Circles,500,"Schnabel, Jim",5785745143,y,01-NOV-1994,2,4,5.99,18-JAN-2003
"Ruin of Kasch, The",823,"Calasso, Roberto",1101743305,y,12-APR-2002,2,1,5.99,11-NOV-2011
"Rumour of Angels, A",300,"Berger, Peter L",1291431366,y,06-JUN-1997,2,0,21.5,05-JAN-2007
"Rumour, The: A Cultural History",306,"Neubauer, Hans-Joachim",5812783933,y,29-NOV-2000,2,0,17.99,04-OCT-2007
Rumours Exposed: The Unauthorized Biography of Fleetwood Mac,780.92,"Furman, Leah",978-0782279428,y,30-APR-2012,2,0,5.99,12-SEP-2013
"Runaway Brain, The",500,"Wills, Christopher",8299107271,y,24-JAN-1999,1,1,5.99,12-APR-2007
Rural Life in Wessex 1500-1900,307.72,"Bettey, J H",7338850106,n,18-MAR-1998,0,0,17.99,16-MAY-2017
SF Impulse nnn,823,Various,978-0267978236,n,02-OCT-2009,0,12,5.99,16-MAY-2017
SF:UK,823.9,"O'Brien, Daniel",5141197217,y,28-APR-2004,1,1,5.99,27-NOV-2013
Sacred Narrative: Readings in the Theory of Myth,290,"Dundes, Alan (ed.)",8784889099,y,03-FEB-1998,2,4,12.49,08-DEC-2004
"Saint Zita Society, The",823,"Rendell, Ruth",0052120877,y,,1,1,,05-NOV-2012
Sanctum,823,"Mina, Denise",1268961430,y,05-MAY-2003,5,1,5.99,25-OCT-2008
Sand Blind,823,"Rathbone, Julian",1375108199,y,04-DEC-2003,2,1,17.99,23-DEC-2005
"Sands of Mars, The",823,"Clarke, Arthur C",978-3085163987,y,29-OCT-2007,3,10,12.49,17-NOV-2009
"Sane Alternative, The",306.2,"Robertson, James",9972623307,y,,2,2,,20-MAR-2014
"Santaroga Barrier, The",823,"Herbert, Frank",334169549X,y,01-JAN-1976,3,12,1.99,23-JUN-1981
"Satanic Mass, The",133.4,"Rhodes, H T F",1797975396,n,01-MAR-1977,0,2,0.99,16-MAY-2017
Saturday,823,"McEwan, Ian",978-4376371035,y,22-APR-2006,1,1,5.99,24-FEB-2013
Saussure,410,"Culler, Jonathon",2468355895,y,24-AUG-1998,2,2,5.99,10-NOV-2006
Saxtons' 16th Century Maps,912,"Saxton, Christopher and  William Ravenhill",4322831176,y,,1,4,,20-MAR-2014
"Scanner Darkly, A",823,"Dick, Philip K",1872958118,y,01-DEC-1987,1,1,4.5,05-OCT-1994
Scenes from a Revolution: The Birth of the New Hollywood,791.43,"Harris, Mark",978-367997621X,y,25-FEB-2015,2,0,5.99,15-MAY-2018
"Schoolgirl Murder Case, The",823,"Wilson, Colin",978-2314293279,y,22-MAY-2007,1,2,12.49,26-MAR-2014
Schrodinger's Cat: The Homing Pigeons,823,"Wilson, Robert Anton",7996394121,n,01-SEP-1982,0,1,1.99,16-MAY-2017
Schrodinger's Cat: The Trick Top Hat,823,"Wilson, Robert Anton",1104880926,n,01-AUG-1982,0,10,4.5,16-MAY-2017
Schrodinger's Cat: The Universe Next Door,823,"Wilson, Robert Anton",1573933983,n,01-MAY-1982,0,10,5.49,16-MAY-2017
Science,306.4,"Fuller, Steve",2966915356,y,16-SEP-2002,2,2,5.99,25-DEC-2002
Science Fiction as Religion,808.3,"Gooch, Stan and Christopher Evans",978-8911520070,y,20-OCT-2013,2,4,7.99,15-MAY-2018
Science Today: Problem or Crisis,500,"Levinson, Ralph and Jeff Thomas",0677989154,y,04-FEB-2002,2,2,17.99,05-SEP-2011
Science and Commonsense,500,"Commoner, Barry",8226525010,y,01-MAY-1980,1,1,4.5,06-MAR-1987
Science and Human Values,501,"Bronowski, J",8607377302,y,22-JAN-2002,2,2,5.99,23-AUG-2011
Science and Philosophy Past and Present,501,"Gjertsen, Derek",857989039X,y,01-MAY-1995,1,2,17.99,29-NOV-2004
Science and Society,300,"Rose, Steven and Rose, Hilary",8747636577,n,01-APR-1979,0,1,2.99,16-MAY-2017
Science and the Modern World,501,"Whitehead, A N",7136572458,y,02-FEB-1985,1,4,5.49,03-SEP-1994
Science and the Retreat from Reason,501,"Gillot, John and Manjit Kumar",1442047223,y,31-MAR-2003,1,4,5.99,17-JUN-2011
Science in Public,501.4,"Gregory, Jane, and Steve Miller",5569864924,y,15-FEB-1996,1,1,21.5,15-SEP-2005
"Science, Mind and Cosmos",520,"Brockman, John (ed.)",6747419292,y,28-MAY-1996,1,2,17.99,27-DEC-2005
"Science, Money and Politics",338.97306,"Greenberg, Daniel S",7703080204,y,10-JAN-1996,2,0,5.99,10-AUG-2005
Science: A Four Thousand Year History,600.09,Fara. Patricia,5167791147,y,01-MAR-1994,2,4,17.99,18-MAY-2002
"Science: Good, Bad and Bogus",500,"Gardner, Martin",1293842574,y,20-MAY-2002,2,1,21.5,02-OCT-2003
"Scientific Attitude, The",501,"Waddington, C H",6556375956,y,15-MAY-2001,2,1,21.5,01-AUG-2009
Scientific Blunders,500,"Youngson, Robert",1266095015,y,17-JAN-2002,2,4,12.49,21-NOV-2008
Scientific Controversies,600.9,"Tristram Englehardt, H and Caplan, Arthur L",9390084920,y,,2,2,,02-AUG-2015
Scientific Feuds,500,"Levy, Joel",0283079143,y,14-MAY-1998,1,4,17.99,04-NOV-2003
Scientific Knowledge,306.4,"Barnes, et al",983810667X,y,13-MAR-2001,1,2,5.99,30-MAY-2009
Scientific Romance in Britain,809.3,"Stableford, Brian",115682005X,y,12-FEB-1985,1,1,4.99,18-DEC-1991
Scientific and Technical Communication,501.4,"Collier, James H., and David M. Toomey, (eds.)",7323073324,y,26-APR-2003,2,2,5.99,13-JUL-2011
"Scold's Bridle, The",823,"Walters, Minette",3560704521,n,26-APR-2004,0,1,5.99,16-MAY-2017
Scoop,823,"Waugh, Evelyn",6198772125,y,,5,10,,05-NOV-2012
Sea Horse in the Sky,823,"Cooper, Edmund",7039285413,n,01-OCT-1980,0,12,2.99,16-MAY-2017
"Sea and Summer, The",823,"Turner, George",8066220352,y,01-JUL-1989,1,4,1.99,30-JAN-1999
Seafaring and Civilization,909,"de Souza, Philip",2594335388,y,17-DEC-2003,2,4,21.5,05-JAN-2006
Searching for Certainty,500,"Casti, John L",9645894323,y,01-SEP-1993,2,1,17.99,18-NOV-2001
"Second Angel, The",823,"Kerr, Philip",5724567415,n,30-NOV-1999,0,12,17.99,16-MAY-2017
Second Foundation,823,"Asimov, Isaac",5819413427,n,06-JAN-1978,0,10,0.99,16-MAY-2017
"Secret Agent, The",823,"Conrad, Joseph",978-0048139500,y,11-DEC-2015,3,10,21.5,15-MAY-2018
"Secret Diary of Adrian Mole, The",823,"Townsend, Sue",7363919368,n,01-APR-1984,0,1,4.99,16-MAY-2017
"Secret History, The",823,"Tartt, Donna",978-9192879074,y,09-MAR-2006,1,4,5.99,26-MAY-2014
"Secret House of Death, The",823,"Rendell, Ruth",4892411397,y,30-JUL-2004,3,10,12.49,04-JUN-2011
"Secret Language: Codes, Tricks, Spies, Thieves and Symbols",417,"Blake, Barry J",978-9823567006,y,17-JAN-2014,1,4,5.99,01-JUN-2015
"Secret Pilgrim, The",823,"Le Carre, John",978-7471206737,y,05-AUG-2007,2,1,17.99,22-OCT-2015
Secret Societies,366.09,"Barrett, David V",5648314373,y,13-MAR-2001,1,1,12.49,30-MAY-2009
"Secularization of the European Mind in the 19th Century, The",900,"Chadwick, Owen",7535894600,y,26-AUG-1999,1,2,12.49,12-NOV-2007
"Seeds of Earth, The",823,"Silverberg, Robert",3648295642,n,01-SEP-1983,0,4,4.99,16-MAY-2017
Seeking Sanctuary,823,"Fyfield, Frances",978-2637109688,y,02-OCT-2006,3,2,5.99,19-DEC-2014
"Self-Sufficient House, The",600,"Vale, Brenda",2308642423,n,,0,4,,16-MAY-2017
"Selfish Gene, The",575.1,"Dawkins, Richard",5039714335,y,01-AUG-1988,2,4,4.99,22-JAN-1994
"Selfishness, Greed and Capitalism",330.1,"Snowden, Christopher",978-8826583288,y,24-FEB-2016,1,0,5.99,15-MAY-2018
Selling Science,501.4,"Nelkin, Dorothy",1614569543,y,08-JUN-2002,1,2,12.49,07-JAN-2012
Sense and Sensibility,823,"Austen, Jane",0496517201,y,01-DEC-1986,2,10,2.99,23-MAY-1992
"Separate Reality, A",133,"Castaneda, Carlos",8487959783,y,01-JUL-1982,2,0,1.99,17-SEP-1990
Servants of Nature,600.09,"Pyenson, Lewis and Susan Sheets-Pyenson",5597012190,y,,2,0,,02-AUG-2015
"Seven Sisters, The",338.39,"Sampson, Anthony",875829217X,n,01-SEP-1990,0,2,5.99,16-MAY-2017
"Seven, the Number of Creation",133,"Varley, Desmond",3577826281,n,01-DEC-1992,0,4,21.5,16-MAY-2017
"Seventies, The",306,"Booker, Christopher",1148274849,y,18-AUG-2000,2,4,5.99,04-NOV-2008
Sexus,823,"Miller, Henry",963736798X,y,01-MAY-1983,3,1,2.99,21-OCT-1988
Seymour - An Introduction,808.3,"Salinger, J D",7807336048,y,01-AUG-1986,2,4,5.49,01-MAR-1996
"Shadow of the Torturer, The",823,"Wolfe, Gene",1149366252,y,01-NOV-1988,1,1,4.99,18-JAN-1997
Shadows of Forgotten Ancestors,500,"Sagan, Carl, and Druryan, Anne",2093946790,y,,1,1,,24-JUN-2011
"Shallows, The",306,"Carr, Nicholas",4446416886,y,24-MAY-2002,2,4,21.5,28-MAR-2009
Shape of Snakes,823,"Walters, Minette",978-0482310551,y,29-OCT-2006,1,10,7.99,15-JAN-2015
"Shape of Things to Come, The",823,"Wells, H G",978-5211388974,y,03-DEC-2007,1,10,17.99,07-OCT-2014
"Sheep Look Up, The",823,"Brunner, John",7804890293,y,01-OCT-1978,1,4,0.99,18-DEC-1986
Shirley,823,"Bronte, Charlotte",3132020539,y,13-DEC-2001,1,1,17.99,14-JUL-2011
"Shores of Death, The",823,"Moorcock, Michael",2449392496,y,01-APR-1982,1,10,1.99,31-OCT-1991
"Short History of Progress, A",900,"Wright, Ronald",9538569134,y,,1,1,,02-AUG-2015
Short History of Sociological Thought,301,"Swingewood, Alan",6438313158,y,,1,1,,20-MAR-2014
Short SF Novels,823,Various,9776560501,y,,3,1,,20-MAR-2014
"Shorter History of Science, A",500.9,"Dampier, C",7087072668,n,01-JUL-1981,0,2,4.99,16-MAY-2017
Siddharta,823,"Hesse, Herman",1188301030,y,01-AUG-1992,3,12,12.49,02-MAR-2002
Sideshow,823,"Tepper, Sheri S.",978-8536689621,y,22-SEP-2006,3,10,7.99,09-DEC-2014
Sight Unseen,823,"Goddard, Robert",978-7088720280,n,02-SEP-2006,0,4,5.99,16-MAY-2017
"Sight for Sore Eyes, A",823,"Rendell, Ruth",7095846761,y,01-FEB-2001,4,10,5.99,02-SEP-2010
"Silence of the Lambs, The",823,"Harris, Thomas",9764484912,n,01-MAY-1993,0,12,12.49,16-MAY-2017
Silk,823,"Braccio, Alessandro",6397323104,y,31-OCT-2001,1,4,7.99,01-JUN-2011
"Singular Man, A",823,"Donleavy, J P",2742819280,n,01-JAN-1983,0,1,1.99,16-MAY-2017
"Sirens of Titan, The",823,"Vonnegut, Kurt",406421968X,y,01-OCT-1977,1,12,0.99,05-AUG-1984
"Sirius Mystery, The",1.9,"Temple, Robert K G",0729712542,y,20-APR-1996,2,4,5.99,23-FEB-2003
Six Degrees: The Science of a Connected Age,500,"Watts, Duncan J",978-6621089171,y,04-NOV-2006,2,2,7.99,13-DEC-2010
"Sixties, The",909.82,"Marwick, Arthur",528733052X,y,21-DEC-1998,2,4,7.99,09-MAR-2007
"Skeptical Environmentalist, The",500,"Lomberg, Bjorn",0841132305,y,17-JUN-1998,1,4,5.99,03-SEP-2006
Slan,823,"Van Vogt, A E",6853959885,n,01-OCT-1986,0,1,4.99,16-MAY-2017
Slaughterhouse 5,823,"Vonnegut, Kurt",1280846578,y,23-OCT-1985,1,12,1.99,27-AUG-1992
Sleep Has His House,823,"Kavan, Anna",3243300940,y,01-JAN-1985,1,12,1.99,24-JUN-1990
"Sleepwalkers, The",520.9,"Koestler, Arthur",4827625102,y,01-DEC-1981,2,2,2.99,02-JUL-1991
Slice of Life: The British Way of Eating Since 1945,306,"Hardyment, Christina",2073080140,y,20-AUG-1996,2,2,7.99,17-MAY-1999
Slouching Towards Bethlehem,814,"Didion, Joan",9394763927,n,04-APR-1986,0,4,1.99,16-MAY-2017
Small Books and Pleasant Histories,900,"Spufford, Margaret",8817404499,y,,1,2,,20-MAR-2014
"Small Screens, Big Ideas",791.49,"Thumim, Janet (ed.)",5955352935,y,,1,4,,21-JAN-2008
Small is Beautiful,337,"Schumacher, E F",2640884338,n,19-NOV-1997,0,1,5.99,16-MAY-2017
So Long and Thanks for All the Fish,823,"Adams, Douglas",6854263422,n,01-JUL-1986,0,1,2.99,16-MAY-2017
